------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      4  |      1.1318  |     0.8721  |   0.8516  |               |              1.8421  |
|          |      5  |      1.0830  |     0.9014  |   0.8748  |               |              2.1905  |
|          |      6  |      1.0469  |     0.9238  |   0.8951  |               |              2.5384  |
|          |      7  |      1.0361  |     0.9229  |   0.9018  |               |              2.8867  |
|          |      8  |      0.9712  |     0.9590  |   0.9229  |               |              3.2347  |
|          |      9  |      0.9404  |     0.9766  |   0.9329  |               |              3.5548  |
|          |   eval  |      0.9404  |     0.9766  |   0.9329  |       0.9404  |              3.7046  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4287  |     0.6963  |   0.6726  |               |              0.3865  |
|          |      1  |      1.2568  |     0.7969  |   0.7815  |               |              0.7662  |
|          |      2  |      1.2002  |     0.8428  |   0.8178  |               |              1.1451  |
|          |      3  |      1.1865  |     0.8535  |   0.8182  |               |              1.4937  |
|          |      4  |      1.1602  |     0.8584  |   0.8599  |               |              1.8416  |
|          |      5  |      1.0879  |     0.8975  |   0.8719  |               |              2.1898  |
|          |      6  |      1.0547  |     0.9141  |   0.8909  |               |              2.5378  |
|          |      7  |      1.0449  |     0.9258  |   0.8923  |               |              2.8863  |
|          |      8  |      0.9800  |     0.9609  |   0.9229  |               |              3.2342  |
|          |      9  |      0.9468  |     0.9736  |   0.9343  |               |              3.5542  |
|          |   eval  |      0.9468  |     0.9736  |   0.9343  |       0.9406  |              3.7040  |
------------------------------------------------------------------------------------------------------
Mean: 0.9405    Std: 0.0013
/workspace/ese-3060-project/logs/499ff215-184f-458c-9304-7fce24a7d9ed/log.pt
